71,0
84,0
-37,0
87,0
95,0
-33,0
102,0
-75,5
-59,5
-60,5
36,5
-104,5
-110,5
12,5
-33,5
-56,5
-51,5
-73,5
-96,5
-46,5
70,5
-62,5
39,5
96,5
37,-2
-37,-2
44,-2
-111,-2
49,-2
107,-2
37,-2
-94,-2
88,-2
111,-2
42,-2
-2,-2
40,-2
-122,-2
123,-2
-103,-2
30,-2
22,4
-36,4
-116,4
81,4
28,4
43,4
4,4
-60,4
-92,4
-65,4
54,4
-123,4
-48,4
108,4
13,4
-108,4
-70,1
1,1
20,1
2,1
-61,1
103,1
-98,1
114,1
87,1
69,1
-57,1
108,1
-106,1
-36,1
-92,1
34,1
89,1
45,6
-65,6
67,6
-23,6
-50,6
-95,6
55,6
-27,6
-70,6
66,6
-45,6
64,6
34,6
16,6
117,6
60,6
104,-2
12,-2
0,-2
-4,-2
109,-2
-104,-2
-124,-2
42,-2
-76,-2
-30,-2
-81,-2
38,-2
122,-2
52,-2
73,-2
42,-2
-33,-2
124,6
-73,6
70,6
30,6
-42,6
-37,6
2,6
87,6
-56,6
17,6
87,6
74,6
-47,6
3,6
-108,6
95,5
88,5
-81,1
15,1
118,1
-60,1
53,1
35,1
78,1
-5,1
44,1
126,1
-66,1
-46,1
-38,1
-127,1
-1,1
-121,1
-43,6
15,6
37,6
7,6
76,6
-5,6
-112,6
117,6
-25,6
-80,6
-42,6
-4,6
-100,6
49,6
42,6
5,6
30,6
60,1
66,1
108,1
120,1
104,1
117,1
30,1
-11,1
-113,1
63,1
-75,1
19,1
-53,1
122,1
64,1
30,1
99,4
54,4
36,4
-52,4
111,4
30,4
-70,4
-125,4
82,4
6,4
112,4
116,4
44,4
111,4
37,4
-28,4
-104,4
64,0
114,0
119,0
-9,0
-38,0
95,0
-23,0
-5,0
-105,0
-55,0
-20,0
-119,0
52,0
-18,0
32,0
48,0
39,0
-40,1
103,1
-41,1
110,1
-56,1
-126,1
-44,1
-66,1
38,1
20,1
-41,1
116,1
60,1
-8,1
113,1
-111,1
58,5
-15,5
-71,5
-7,5
-16,5
94,5
-51,5
20,5
32,5
101,5
63,5
106,5
59,5
-123,5
-66,5
51,5
-83,5
97,0
14,0
76,0
-7,0
7,0
92,0
-68,0
68,0
115,0
99,0
-24,0
63,0
-88,0
-125,0
-32,0
-68,0
-49,2
103,2
33,2
67,2
114,2
-12,2
52,2
-126,2
-126,2
-18,2
-89,2
-43,2
-81,2
73,2
-88,2
-73,2
-68,2
-23,2
8,2
-43,2
21,2
-17,2
96,2
27,2
18,2
31,2
57,2
114,2
28,2
-66,2
67,2
7,2
-103,2
0,2
46,0
32,0
-98,0
63,0
60,0
34,0
-6,0
-117,0
-38,0
-101,0
-53,0
72,0
-101,0
11,0
-75,0
-102,0
7,-2
-16,-2
75,-2
-67,-2
-28,-2
-56,-2
-12,-2
-88,-2
-8,-2
124,-2
14,-2
-90,-2
58,-2
-111,-2
102,-2
9,-2
-65,-2
-67,4
47,4
121,4
65,4
-37,4
-71,4
79,4
-51,4
91,4
-42,4
-86,4
120,4
30,4
-114,4
84,4
86,4
112,0
-93,0
-70,0
61,0
-29,0
54,0
82,0
-102,0
113,0
86,0
74,0
-35,0
0,0
-61,0
-39,0
80,0
-55,0
-83,5
-2,5
53,5
-115,5
88,5
61,5
0,5
-42,5
-23,5
-20,5
-60,5
-44,5
-127,5
124,5
-55,5
-96,5
13,5
26,3
17,3
-80,3
-39,3
90,3
-32,3
59,3
-84,3
44,3
-121,3
-6,3
-82,3
-39,3
29,3
-76,3
45,3
-9,2
96,2
-120,2
-29,2
55,2
16,2
50,2
87,2
5,2
-24,2
-26,2
-43,2
90,2
34,2
101,2
-19,2
74,2
-96,5
111,5
126,5
0,5
-30,5
21,5
112,5
8,5
-9,5
-2,5
113,5
97,5
-112,5
73,5
-115,5
118,5
-85,1
-91,1
89,1
-12,1
-4,1
32,1
-2,1
108,1
65,1
-18,1
-48,1
21,1
57,1
-104,1
103,1
20,1
66,1
-72,-1
38,-1
-88,-1
-3,-1
-50,-1
114,-1
-25,-1
77,-1
120,-1
-40,-1
95,-1
-5,-1
53,-1
60,-1
42,-1
-18,-1
-75,-1
90,-1
58,-1
91,-1
-125,-1
80,-1
-76,-1
-73,-1
51,-1
-29,-1
-8,-1
-119,-1
-96,-1
-116,-1
-34,-1
81,-1
23,-1
-76,0
-25,0
87,0
-96,0
115,0
103,0
67,0
65,0
105,0
-70,0
-104,0
86,0
107,0
108,0
-51,0
0,0
108,0
38,-2
81,-2
58,-2
3,-2
0,-2
0,-2
-65,-2
125,-2
-88,-2
55,-2
-82,-2
97,-2
-116,-2
76,-2
-121,-2
67,-2
94,-3
25,-3
22,-3
114,-3
115,-3
-99,-3
2,-3
-68,-3
44,-3
105,-3
9,-3
104,-3
-80,-3
18,-3
73,-3
62,-3
-32,-3
22,-2
-42,-2
45,-2
12,-2
93,-2
-94,-2
-24,-2
-111,-2
-93,-2
-68,-2
-70,-2
51,-2
24,-2
65,-2
-9,-2
-16,-2
60,-2
34,-4
103,-4
10,-4
-56,-4
36,-4
-84,-4
-33,-4
1,-4
55,-4
121,-4
-28,-4
-69,-4
-57,-4
-11,-4
-100,-4
94,-4
43,0
25,0
105,0
66,0
-124,0
9,0
-8,0
87,0
16,0
-87,0
95,0
-61,0
58,0
6,0
47,0
-107,0
-102,0
32,-5
112,-5
-18,-5
-28,-5
-107,-5
-70,-5
-66,-5
-49,-5
1,-5
47,-5
120,-5
-125,-5
20,-5
14,-5
72,-5
-52,-5
-47,-6
-66,-6
-28,-6
-98,-6
-28,-6
120,-6
-114,-6
-49,-6
-23,-6
13,-6
-127,-6
4,-6
3,-6
30,-6
125,-6
24,-6
59,-6
98,-6
-89,-6
37,-6
69,-6
104,-6
52,-6
-78,-6
104,-6
-6,-6
120,-6
-36,-6
5,-6
72,-6
82,-6
-115,-6
-116,-6
55,-6
-93,-6
-70,-6
99,-6
8,-6
57,-6
-61,-6
-121,-6
-40,-6
54,-6
74,-6
-127,-6
72,-6
43,-6
104,-6
-20,-6
-55,-6
-17,-1
114,-1
68,-1
-66,-1
-124,-1
56,-1
107,-1
-19,-1
-39,-1
31,-1
81,-1
-16,-1
123,-1
-1,-1
45,-1
-8,-1
24,-1
-95,-2
-61,-2
-47,-2
-127,-2
-85,-2
-108,-2
73,-2
48,-2
-20,-2
-13,-2
86,-2
-85,-2
111,-2
71,-2
-99,-2
-38,-2
82,-8
110,-8
51,-8
-22,-8
-30,-8
88,-8
-55,-8
-9,-8
-9,-8
-17,-7
86,-7
48,-7
-9,-7
-2,-7
-112,-7
-64,-7
-6,-7
